ano,mes,estado,casos_Previstos,timestamp
2024,Agosto,RN,2053,2025-07-24 17:55:54.935938
2024,Dezembro,RN,2118,2025-07-24 17:55:54.935938
2024,Fevereiro,RN,1424,2025-07-24 17:55:54.935938
2024,Janeiro,RN,1717,2025-07-24 17:55:54.935938
2024,Julho,RN,4584,2025-07-24 17:55:54.935938
2024,Junho,RN,4999,2025-07-24 17:55:54.935938
2024,Maio,RN,2660,2025-07-24 17:55:54.935938
2024,Marco,RN,586,2025-07-24 17:55:54.935938
2024,Novembro,RN,2027,2025-07-24 17:55:54.935938
2024,Outubro,RN,2353,2025-07-24 17:55:54.935938
2024,Setembro,RN,4983,2025-07-24 17:55:54.935938
2024,Abril,RO,476,2025-07-24 17:55:54.935938
2024,Agosto,RO,1224,2025-07-24 17:55:54.935938
2024,Dezembro,RO,1290,2025-07-24 17:55:54.935938
2024,Fevereiro,RO,694,2025-07-24 17:55:54.935938
2024,Janeiro,RO,921,2025-07-24 17:55:54.935938
2024,Julho,RO,2972,2025-07-24 17:55:54.935938
2024,Junho,RO,3386,2025-07-24 17:55:54.935938
2024,Maio,RO,1546,2025-07-24 17:55:54.935938
2024,Marco,RO,376,2025-07-24 17:55:54.935938
2024,Novembro,RO,1202,2025-07-24 17:55:54.935938
2024,Outubro,RO,1401,2025-07-24 17:55:54.935938
2024,Setembro,RO,3385,2025-07-24 17:55:54.935938
2024,Abril,RR,5775,2025-07-24 17:55:54.935938
2024,Agosto,RR,8858,2025-07-24 17:55:54.935938
2024,Dezembro,RR,8970,2025-07-24 17:55:54.935938
2024,Fevereiro,RR,7546,2025-07-24 17:55:54.935938
2024,Janeiro,RR,8181,2025-07-24 17:55:54.935938
2024,Julho,RR,11433,2025-07-24 17:55:54.935938
2024,Junho,RR,11839,2025-07-24 17:55:54.935938
2024,Maio,RR,9521,2025-07-24 17:55:54.935938
2024,Marco,RR,4969,2025-07-24 17:55:54.935938
2024,Novembro,RR,8837,2025-07-24 17:55:54.935938
2024,Outubro,RR,9207,2025-07-24 17:55:54.935938
2024,Setembro,RR,11809,2025-07-24 17:55:54.935938
2024,Abril,RS,2888,2025-07-24 17:55:54.935938
2024,Agosto,RS,5982,2025-07-24 17:55:54.935938
2024,Dezembro,RS,6098,2025-07-24 17:55:54.935938
2024,Fevereiro,RS,4663,2025-07-24 17:55:54.935938
2024,Janeiro,RS,5303,2025-07-24 17:55:54.935938
2024,Julho,RS,8574,2025-07-24 17:55:54.935938
2024,Junho,RS,8994,2025-07-24 17:55:54.935938
2024,Maio,RS,6657,2025-07-24 17:55:54.935938
2024,Marco,RS,2084,2025-07-24 17:55:54.935938
2024,Novembro,RS,5953,2025-07-24 17:55:54.935938
2024,Outubro,RS,6329,2025-07-24 17:55:54.935938
2024,Setembro,RS,8962,2025-07-24 17:55:54.935938
2024,Abril,SC,4017,2025-07-24 17:55:54.935938
2024,Agosto,SC,7117,2025-07-24 17:55:54.935938
2024,Dezembro,SC,7230,2025-07-24 17:55:54.935938
2024,Fevereiro,SC,5796,2025-07-24 17:55:54.935938
2024,Janeiro,SC,6437,2025-07-24 17:55:54.935938
2024,Julho,SC,9710,2025-07-24 17:55:54.935938
2024,Junho,SC,10122,2025-07-24 17:55:54.935938
2024,Maio,SC,7787,2025-07-24 17:55:54.935938
2024,Marco,SC,3209,2025-07-24 17:55:54.935938
2024,Novembro,SC,7091,2025-07-24 17:55:54.935938
2024,Outubro,SC,7463,2025-07-24 17:55:54.935938
2024,Setembro,SC,10087,2025-07-24 17:55:54.935938
2024,Abril,SE,4506,2025-07-24 17:55:54.935938
2024,Agosto,SE,7595,2025-07-24 17:55:54.935938
2024,Dezembro,SE,7705,2025-07-24 17:55:54.935938
2024,Fevereiro,SE,6278,2025-07-24 17:55:54.935938
2024,Janeiro,SE,6919,2025-07-24 17:55:54.935938
2024,Julho,SE,10178,2025-07-24 17:55:54.935938
2024,Junho,SE,10581,2025-07-24 17:55:54.935938
2024,Maio,SE,8256,2025-07-24 17:55:54.935938
2024,Marco,SE,3697,2025-07-24 17:55:54.935938
2024,Novembro,SE,7574,2025-07-24 17:55:54.935938
2024,Outubro,SE,7938,2025-07-24 17:55:54.935938
2024,Setembro,SE,10541,2025-07-24 17:55:54.935938
2024,Abril,SP,3777,2025-07-24 17:55:54.935938
2024,Agosto,SP,6875,2025-07-24 17:55:54.935938
2024,Dezembro,SP,6988,2025-07-24 17:55:54.935938
2024,Fevereiro,SP,5554,2025-07-24 17:55:54.935938
2024,Janeiro,SP,6195,2025-07-24 17:55:54.935938
2024,Julho,SP,9466,2025-07-24 17:55:54.935938
2024,Junho,SP,9876,2025-07-24 17:55:54.935938
2024,Maio,SP,7542,2025-07-24 17:55:54.935938
2024,Marco,SP,2967,2025-07-24 17:55:54.935938
2024,Novembro,SP,6851,2025-07-24 17:55:54.935938
2024,Outubro,SP,7220,2025-07-24 17:55:54.935938
2024,Setembro,SP,9840,2025-07-24 17:55:54.935938
2024,Abril,TO,2875,2025-07-24 17:55:54.935938
2024,Agosto,TO,5968,2025-07-24 17:55:54.935938
2024,Dezembro,TO,6080,2025-07-24 17:55:54.935938
2024,Fevereiro,TO,4649,2025-07-24 17:55:54.935938
2024,Janeiro,TO,5290,2025-07-24 17:55:54.935938
2024,Julho,TO,8555,2025-07-24 17:55:54.935938
2024,Junho,TO,8962,2025-07-24 17:55:54.935938
2024,Maio,TO,6632,2025-07-24 17:55:54.935938
2024,Marco,TO,2093,2025-07-24 17:55:54.935938
2024,Novembro,TO,5946,2025-07-24 17:55:54.935938
2024,Outubro,TO,6312,2025-07-24 17:55:54.935938
2024,Setembro,TO,8926,2025-07-24 17:55:54.935938
